CHEMICAL NAME,CAS No.,RTECS No.
Elemental silicon,7440-21-3,VW0400000
Emery*,1302-74-5 (corundum),GN0231000 (corundum)
ENB,16219-75-3,RB9450000
Endosulfan*,115-29-7,RB9275000
Endosulphan,115-29-7,RB9275000
Endrin*,72-20-8,IO1575000
Enflurane*,13838-16-9,KN6800000
Engravers acid,7697-37-2,QU5775000
Entex,55-38-9,TF9625000
Epichlorohydrin*,106-89-8,TX4900000
EPN*,2104-64-5,TB1925000
Epoxypropyl alcohol,556-52-5,UB4375000
Erythrene,106-99-0,EI9275000
Essence of mirbane,98-95-3,DA6475000
Ethanal,75-07-0,AB1925000
Ethane hexachloride,67-72-1,KI4025000
Ethane pentachloride,76-01-7,KI6300000
Ethane trichloride,79-00-5,KJ3150000
Ethanecarboxylic acid,79-09-4,UE5950000
Ethanedinitrile,460-19-5,GT1925000
Ethanedioic acid,144-62-7,RO2450000
Ethanethiol,75-08-1,KI9625000
Ethanoic acid,64-19-7,AF1225000
Ethanoic anhydride,108-24-7,AK1925000
Ethanol,64-17-5,KQ6300000
Ethanolamine*,141-43-5,KJ5775000
Ethenone,463-51-4,OA7700000
Ethenyl acetate,108-05-4,AK0875000
Ethenyl benzene,100-42-5,WL3675000
Ethenyl ethanoate,108-05-4,AK0875000
Ethenylmethylbenzene,25013-15-4 (inhibited),WL5075000
Ether,60-29-7,KI5775000
Ethine,74-86-2,AO9600000
Ethion*,563-12-2,TE4550000
Ethrane®,13838-16-9,KN6800000
Ethyl 3-methyl-4-(methylthio)phenyl-(1-methylethyl)phosphoramidate,22224-92-6,TB3675000
Ethyl acetate*,141-78-6,AH5425000
Ethyl acetone,107-87-9,SA7875000
Ethyl acrylate*,140-88-5,AT0700000
Ethyl acrylate (inhibited),140-88-5,AT0700000
Ethyl alcohol*,64-17-5,KQ6300000
Ethyl aldehyde,75-07-0,AB1925000
Ethyl amyl ketone,541-85-5,MJ7350000
Ethyl benzene*,100-41-4,DA0700000
Ethyl bromide*,74-96-4,KH6475000
Ethyl butyl ketone*,106-35-4,MJ5250000
Ethyl carbinol,71-23-8,UH8225000
Ethyl chloride*,75-00-3,KH7525000
Ethyl cyanide,107-12-0,UF9625000
Ethyl ester of acetic acid,141-78-6,AH5425000
Ethyl ester of acrylic acid,140-88-5,AT0700000
Ethyl ester of formic acid,109-94-4,LQ8400000
Ethyl ethanoate,141-78-6,AH5425000
Ethyl ether*,60-29-7,KI5775000
Ethyl formate*,109-94-4,LQ8400000
Ethyl ketone,96-22-0,SA8050000
Ethyl mercaptan*,75-08-1,KI9625000
Ethyl methanoate,109-94-4,LQ8400000
Ethyl methyl ketone,78-93-3,EL6475000
Ethyl methyl ketone peroxide,1338-23-4,EL9450000
Ethyl nitrile,75-05-8,AL7700000
Ethyl orthosilicate,78-10-4,VV9450000
Ethyl oxide,60-29-7,KI5775000
Ethyl parathion,56-38-2,TF4550000
Ethyl phthalate,84-66-2,TI1050000
Ethyl p-nitrophenyl benzenethionophosphonate,2104-64-5,TB1925000
Ethyl propenoate,140-88-5,AT0700000
Ethyl pyrophosphate,107-49-3,UX6825000
Ethyl silicate*,78-10-4,VV9450000
Ethyl silicate (condensed),78-10-4,VV9450000
Ethyl sulfhydrate,75-08-1,KI9625000
Ethylamine*,75-04-7,KH2100000
Ethylamine (anhydrous),75-04-7,KH2100000
Ethylbenzol,100-41-4,DA0700000
Ethylene bromide,106-93-4,KH9275000
Ethylene chlorhydrin,107-07-3,KK0875000
Ethylene chloride,107-06-2,KI0525000
Ethylene chlorohydrin*,107-07-3,KK0875000
Ethylene cyanide,110-61-2,WN3850000
Ethylene dibromide*,106-93-4,KH9275000
Ethylene dichloride*,107-06-2,KI0525000
Ethylene dicyanide,110-61-2,WN3850000
Ethylene dinitrate,628-96-6,KW5600000
Ethylene glycol*,107-21-1,KW2975000
Ethylene glycol dinitrate*,628-96-6,KW5600000
Ethylene glycol isopropyl ether,109-59-1,KL5075000
Ethylene glycol monobutyl ether,111-76-2,KJ8575000
Ethylene glycol monobutyl ether acetate,112-07-2,KJ8925000
Ethylene glycol monoethyl ether,110-80-5,KK8050000
Ethylene glycol monoethyl ether acetate,111-15-9,KK8225000
Ethylene glycol monomethyl ether,109-86-4,KL5775000
Ethylene glycol monomethyl ether acetate,110-49-6,KL5950000
Ethylene monochloride,75-01-4,KU9625000
Ethylene nitrate,628-96-6,KW5600000
Ethylene oxide*,75-21-8,KX2450000
Ethylene thiourea*,96-45-7,NI9625000
Ethylene trichloride,79-01-6,KX4550000
Ethylenecarboxylic acid,79-10-7,AS4375000
Ethylenediamine*,107-15-3,KH8575000
Ethylenediamine (anhydrous),107-15-3,KH8575000
Ethyleneimine*,151-56-4,KX5075000
Ethylenimine,151-56-4,KX5075000
Ethylformic acid,79-09-4,UE5950000
Ethylidene chloride,75-34-3,KI0175000
Ethylidene norbornene*,16219-75-3,RB9450000
Ethylimine,151-56-4,KX5075000
Ethylolamine,141-43-5,KJ5775000
Ethyne,74-86-2,AO9600000
EtOH,64-17-5,KQ6300000
ETU,96-45-7,NI9625000
Expanded perlite,93763-70-3,SD5254000
"N,N-Ethylenethiourea",96-45-7,NI9625000
N-Ethylethanamine,109-89-7,HZ8750000
N-Ethylmorpholine*,100-74-3,QE4025000
O-Ethyl O-(4-methylthio)phenyl S-propylphosphorodithioate,35400-43-2,TE4165000
O-Ethyl O-(4-nitrophenyl) phenylphosphonothioate,2104-64-5,TB1925000
O-Ethyl-S-phenyl ethylphosphorothioate,944-22-9,TA5950000
"2,5-Furanedione",108-31-6,ON3675000
2-FAA,53-96-3,AB9450000
2-Fluorenylacetamide,53-96-3,AB9450000
2-Furancarboxaldehyde,98-01-1,LT7000000
2-Furfuraldehyde,98-01-1,LT7000000
2-Furylmethanol,98-00-0,LU9100000
FAA,53-96-3,AB9450000
Fenamiphos*,22224-92-6,TB3675000
Fenchlorophos,299-84-3,TG0525000
Fenothiazine,92-84-2,SN5075000
Fensulfothion*,115-90-2,TF3850000
Fenthion*,55-38-9,TF9625000
Fenylfosfin,638-21-1,SZ2100000
Ferbam*,14484-64-1,NO8750000
Fermentation amyl alcohol,123-51-3,EL5425000
Ferric chloride,,
Ferric dimethyl dithiocarbamate,14484-64-1,NO8750000
Ferric nitrate,,
Ferric oxide,1309-37-1,"NO7400000,NO7525000 (fume)"
Ferric sulfate,,
Ferrocene,102-54-5,LK0700000
Ferrous chloride,,
Ferrous sulfate,,
Ferrovanadium,12604-58-9,LK2900000
Ferrovanadium dust*,12604-58-9,LK2900000
Fiber glas®,,LK3651000
Fiberglass,,LK3651000
Fibrous glass dust*,,LK3651000
Floridine,7681-49-4,WB0350000
Flue gas,630-08-0,FG3500000
Fluorine*,7782-41-4,LM6475000
Fluorine monoxide,7783-41-7,RS2100000
Fluorine-19,7782-41-4,LM6475000
Fluorocarbon 1011,74-97-5,PA5250000
Fluorocarbon 12,75-71-8,PA8200000
Fluorocarbon 1301,75-63-8,PA5425000
Fluorocarbon-115,76-15-3,KH7877500
Fluorocarbon-22,75-45-6,PA6390000
Fluorodichloromethane,75-43-4,PA8400000
Fluoroethene,75-02-5,YZ7351000
Fluoroethylene,75-02-5,YZ7351000
Fluoroformyl fluoride,353-50-4,FG6125000
Fluorophosgene,353-50-4,FG6125000
Fluorotrichloromethane*,75-69-4,PB6125000
Fluoroxene*,406-90-6,KO4250000
Fonofos*,944-22-9,TA5950000
Fonophos,944-22-9,TA5950000
Formal,109-87-5,PA8750000
Formaldehyde*,50-00-0,LP8925000
Formaldehyde cyanohydrin,107-16-4,AM0350000
Formaldehyde dimethylacetal,109-87-5,PA8750000
Formaldehyde solution,,
Formalin (as formaldehyde)*,,
Formamide*,75-12-7,LQ0525000
Formic acid*,64-18-6,LQ4900000
Formic acid (85-95% in aqueous solution),64-18-6,LQ4900000
Formonitrile,74-90-8,MW6825000
Freon® 10,56-23-5,FG4900000
Freon® 11,75-69-4,PB6125000
Freon® 112,76-12-0,KI1420000
Freon® 112a,76-11-9,KI1425000
Freon® 113,76-13-1,KJ4000000
Freon® 114,76-14-2,KI1101000
Freon® 115,76-15-3,KH7877500
Freon® 12,75-71-8,PA8200000
Freon® 12B2,75-61-6,PA7525000
Freon® 13B1,75-63-8,PA5425000
Freon® 21,75-43-4,PA8400000
Freon® 22,75-45-6,PA6390000
Fuel Oil No. 1,8008-20-6,OA5500000
Furacarb®,1563-66-2,FB9450000
Furadan®,1563-66-2,FB9450000
Fural,98-01-1,LT7000000
Furfural*,98-01-1,LT7000000
Furfuraldehyde,98-01-1,LT7000000
Furfuryl alcohol*,98-00-0,LU9100000
Furnace black,1333-86-4,FF5800000
Fused borax,1330-43-4,ED4588000
Fusel oil,123-51-3,EL5425000
Gasoline*,8006-61-9,LX3300000
Genetron® 113,76-13-1,KJ4000000
Genetron® 114,76-14-2,KI1101000
Genetron® 115,76-15-3,KH7877500
Genetron® 12,75-71-8,PA8200000
Genetron® 21,75-43-4,PA8400000
Genetron® 22,75-45-6,PA6390000
Germane,7782-65-2,LY4900000
Germanium hydride,7782-65-2,LY4900000
Germanium tetrahydride*,7782-65-2,LY4900000
Germanomethane,7782-65-2,LY4900000
Glacial acetic acid,64-19-7,AF1225000
Glacial acrylic acid,79-10-7,AS4375000
Glass fibers,,LK3651000
Glass wool,,LK3651000
Glutaraldehyde*,111-30-8,MA2450000
Glutaric dialdehyde,111-30-8,MA2450000
Glycerin (anhydrous),56-81-5,MA8050000
Glycerin (mist)*,56-81-5,MA8050000
Glycerol,56-81-5,MA8050000
Glycerol trichlorohydrin,96-18-4,TZ9275000
Glyceryl trichlorohydrin,96-18-4,TZ9275000
Glyceryl trinitrate,55-63-0,QX2100000
Glycide,556-52-5,UB4375000
Glycidol*,556-52-5,UB4375000
Glycidyl allyl ether,106-92-3,RR0875000
Glycidyl phenyl ether,122-60-1,TZ3675000
Glycol,107-21-1,KW2975000
Glycol alcohol,107-21-1,KW2975000
Glycol dibromide,106-93-4,KH9275000
Glycol dichloride,107-06-2,KI0525000
Glycol dinitrate,628-96-6,KW5600000
Glycol monoethyl ether acetate,111-15-9,KK8225000
Glycol monomethyl ether,109-86-4,KL5775000
Glycol monomethyl ether acetate,110-49-6,KL5950000
Glycolic nitrile,107-16-4,AM0350000
Glycolonitrile*,107-16-4,AM0350000
Glyconitrile,107-16-4,AM0350000
Glycyl alcohol,56-81-5,MA8050000
Grain alcohol,64-17-5,KQ6300000
"Grain dust (oat, wheat, barley)*",,MD7900000
Granulated sugar,57-50-1,WN6500000
Graphite (natural)*,7782-42-5,MD9659600
Graphite (synthetic)*,7440-44-0 (synthetic),FF5250100 (synthetic)
Gum camphor,76-22-2,EX1225000
Gum turpentine,8006-64-2,YO8400000
Gumspirits,8006-64-2,YO8400000
Guthion®,86-50-0,TE1925000
Gypsum*,13397-24-5,MG2360000
Gypsum hemihydrate,26499-65-0,TP0700000
Gypsum stone,13397-24-5,MG2360000
ã-Hexachlorocyclohexane,58-89-9,GV4900000
α-Hydroxyisobutyronitrile,75-86-5,OD9275000
β-Hydroxyethyl isopropyl ether,109-59-1,KL5075000
β-Hydroxypropyl acrylate,999-61-1,AT1925000
"1,1,1,3,3,3-Hexafluoro-2-propanone",684-16-2,UC2450000
"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-endo-1,4-exo-5,8-dimethanonaphthalene",309-00-2,IO2100000
"1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4-endo,endo-5,8-dimethanonaphthalene",72-20-8,IO1575000
"1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4-endo,exo-5,8-dimethanonaphthalene",60-57-1,IO1750000
"1,2,3,4,5,5-Hexachloro-1,3-cyclopentadiene",77-47-4,GY1225000
"1,3-Hexachlorobutadiene",87-68-3,EJ0700000
"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene",76-44-8,PC0700000
"1,6-Hexamethylene diisocyanate",822-06-0,MO1740000
1-Heptanethiol*,1639-09-4,MJ1400000
1-Hexadecanethiol*,2917-26-2,
1-Hexanethiol,111-31-9,MO4550000
1-Hydroxy-2-methylbenzene,95-48-7,GO6300000
1-Hydroxy-3-methylbenzene,108-39-4,GO6125000
1-Hydroxy-4-methylbenzene,106-44-5,GO6475000
1-Hydroxybutane,71-36-3,EO1400000
"2,2-bis(Hydroxymethyl)-1,3-propanediol",115-77-5,RZ2490000
2-Heptanone,110-43-0,MJ5075000
2-Hexanone*,591-78-6,MP1400000
2-Hydroxy-2-methyl-propionitrile,75-86-5,OD9275000
2-Hydroxybutane,78-92-2,EO1750000
2-Hydroxyethylamine,141-43-5,KJ5775000
2-Hydroxymethyl oxiran,556-52-5,UB4375000
2-Hydroxymethylfuran,98-00-0,LU9100000
2-Hydroxyphenol,120-80-9,UX1050000
2-Hydroxypropyl acrylate*,999-61-1,AT1925000
2-Hydroxytoluene,95-48-7,GO6300000
2-Hydroxytriethylamine,100-37-8,KK5075000
3-Heptanone,106-35-4,MJ5250000
3-Hydroxy-β-lactone,57-57-8,RQ7350000
3-Hydroxy-1-propanesulphonic acid sultone,1120-71-4,RP5425000
3-Hydroxy-N-methylcrotonamide dimethylphosphate,6923-22-4,TC4375000
3-Hydroxyphenol,108-46-3,VG9625000
3-Hydroxy-propionic acid,57-57-8,RQ7350000
3-Hydroxypropylene oxide,556-52-5,UB4375000
3-Hydroxytoluene,108-39-4,GO6125000
4-Heptanone,123-19-3,MJ5600000
4-Hydroxy-3-(3-oxo-1-phenyl butyl)-2H-1-benzopyran-2-one,81-81-2,GN4550000
4-Hydroxy-4-methyl-2-pentanone,123-42-2,SA9100000
4-Hydroxytoluene,106-44-5,GO6475000
"6,7,8,9,10-Hexachloro-1,5,5a,6,9,9a-hexachloro-6,9-methano-2,4,3-benzo-dioxathiepin-3-oxide",115-29-7,RB9275000
bis(2-Hydroxyethyl)amine,111-42-2,KL2975000
"gamma isomer of 1,2,3,4,5,6-Hexachlorocyclohexane",58-89-9,GV4900000
Hafnium*,7440-58-6,MG4600000
Hafnium metal,7440-58-6,MG4600000
Halane,118-52-5,MU0700000
Halocarbon 112,76-12-0,KI1420000
Halocarbon 112a,76-11-9,KI1425000
Halocarbon 113,76-13-1,KJ4000000
Halocarbon 1132A,75-38-7,KW0560000
Halocarbon 115,76-15-3,KH7877500
Halocarbon 13B1,75-63-8,PA5425000
Halon® 1011,74-97-5,PA5250000
Halon® 104,56-23-5,FG4900000
Halon® 112,75-43-4,PA8400000
Halon® 1202,75-61-6,PA7525000
Halon® 122,75-71-8,PA8200000
Halon® 1301,75-63-8,PA5425000
Halon® 242,76-14-2,KI1101000
Halothane*,151-67-7,KH6550000
Halowax® [Tetrachloronaphthalene],1335-88-2,QK3700000
Halowax® [Trichloronaphthalene],1321-65-9,QK4025000
Halowax® 1013,1321-64-8,QK0300000
Halowax® 1014,1335-87-1,QJ7350000
Halowax® 1051,2234-13-1,QK0250000
Hard metal,1: 11107-01-02: 12718-69-33: 37329-49-0,"1: YO7350000,2: YO7525000,3: YO7700000"
Hard wood dust,,ZC9850000
HCBD,87-68-3,EJ0700000
HCCPD,77-47-4,GY1225000
HCH,58-89-9,GV4900000
HDI,822-06-0,MO1740000
Heavy mineral oil mist,8012-95-1,PY8030000
Hemellitol,526-73-8,DC3300000
Hemihydrate gypsum,26499-65-0,TP0700000
"Hemimellitene [1,2,3-Trimethylbenzene]",526-73-8,DC3300000
"Hemimellitene [1,2,4-Trimethylbenzene]",95-63-6,DC3325000
HEOD,60-57-1,IO1750000
Heptachlor*,76-44-8,PC0700000
Heptan-4-one,123-19-3,MJ5600000
Heptane,142-82-5,MI7700000
Heptyl mercaptan,1639-09-4,MJ1400000
"Hexachloro-1,3-butadiene",87-68-3,EJ0700000
"Hexachloro-1,3-cyclopentadiene",77-47-4,GY1225000
Hexachlorobutadiene*,87-68-3,EJ0700000
Hexachlorocyclopentadiene*,77-47-4,GY1225000
Hexachloroethane*,67-72-1,KI4025000
Hexachloronaphthalene*,1335-87-1,QJ7350000
Hexadecanethiol-1,2917-26-2,
Hexadecyl mercaptan,2917-26-2,
Hexadrin®,72-20-8,IO1575000
Hexafluoro-2-propanone,684-16-2,UC2450000
Hexafluoroacetone*,684-16-2,UC2450000
"Hexahydro-1,3,5-trinitro-s-triazine",121-82-4,XY9450000
Hexahydro-2H-azepin-2-one,105-60-2,CM3675000
Hexahydroaniline,108-91-8,GX0700000
Hexahydrobenzenamine,108-91-8,GX0700000
Hexahydrobenzene,110-82-7,GU6300000
Hexahydrocresol,25639-42-3,GW0175000
Hexahydromethylphenol,25639-42-3,GW0175000
Hexahydrophenol,108-93-0,GV7875000
Hexahydrotoluene,108-87-2,GV6125000
Hexalin,108-93-0,GV7875000
Hexamethyl phosphoramide*,680-31-9,TD0875000
Hexamethylene,110-82-7,GU6300000
Hexamethylene diisocyanate*,822-06-0,MO1740000
"Hexamethylene-1,6-diisocyanate",822-06-0,MO1740000
Hexamethylphosphoric triamide,680-31-9,TD0875000
Hexamethylphosphorotriamide,680-31-9,TD0875000
Hexanaphthene,110-82-7,GU6300000
Hexane,110-54-3,MN9275000
Hexane isomers (excluding n-Hexane)*,,
Hexanedinitrile,111-69-3,AV2625000
Hexone*,108-10-1,SA9275000
Hexyl hydride,110-54-3,MN9275000
Hexyl mercaptan,111-31-9,MO4550000
Hexylene glycol*,107-41-5,SA0810000
HFA,684-16-2,UC2450000
HF-A,7664-39-3,MW7875000
HHDN,309-00-2,IO2100000
High solvent naphtha,8030-30-6,DE3030000
High-strength hydrogen peroxide,7722-84-1,MX0900000
HMDI,822-06-0,MO1740000
HMDI,5124-30-1,NQ9250000
HMPA,680-31-9,TD0875000
HPA,999-61-1,AT1925000
Hydralin,108-93-0,GV7875000
Hydrated aluminum silicate,1332-58-7,GF1670500
Hydrated calcium sulfate,13397-24-5,MG2360000
Hydrated lime,1305-62-0,EW2800000
Hydraulic cement,65997-15-1,VV8770000
Hydrazine*,302-01-2,MU7175000
Hydrazine (anhydrous),302-01-2,MU7175000
Hydrazine base,302-01-2,MU7175000
Hydrazinobenzene,100-63-0,MV8925000
Hydrite,1332-58-7,GF1670500
"Hydroacrylic acid, β-lactone",57-57-8,RQ7350000
Hydrochloric acid,7647-01-0,MW4025000
Hydrochloric ether,75-00-3,KH7525000
Hydrocobalt tetracarbonyl,16842-03-8,GG0900000
Hydrocyanic acid,74-90-8,MW6825000
Hydrofluoric acid,7664-39-3,MW7875000
Hydrogen antimonide,7803-52-3,WJ0700000
Hydrogen arsenide,7784-42-1,CG6475000
Hydrogen bromide*,10035-10-6,MW3850000
Hydrogen carboxylic acid,64-18-6,LQ4900000
Hydrogen chloride*,7647-01-0,MW4025000
Hydrogen cyanamide,420-04-2,GS5950000
Hydrogen cyanide*,74-90-8,MW6825000
Hydrogen dioxide,7722-84-1,MX0900000
Hydrogen fluoride*,7664-39-3,MW7875000
Hydrogen nitrate,7697-37-2,QU5775000
Hydrogen peroxide*,7722-84-1,MX0900000
Hydrogen peroxide (aqueous),7722-84-1,MX0900000
Hydrogen phosphide,7803-51-2,SY7525000
Hydrogen selenide*,7783-07-5,MX1050000
Hydrogen sulfate,7664-93-9,WS5600000
Hydrogen sulfide*,7783-06-4,MX1225000
Hydrogenated diphenylbenzenes,61788-32-7,WZ6535000
Hydrogenated MDI,5124-30-1,NQ9250000
Hydrogenated phenylbiphenyls,61788-32-7,WZ6535000
Hydrogenated terphenyls*,61788-32-7,WZ6535000
Hydrogenated triphenyls,61788-32-7,WZ6535000
Hydromagnesite,546-93-0,OM2470000
Hydroperoxide,7722-84-1,MX0900000
Hydroquinone*,123-31-9,MX3500000
Hydroquinone monomethyl ether,150-76-5,SL7700000
Hydrosulfuric acid,7783-06-4,MX1225000
Hydrous magnesium silicate,14807-96-6,WW2710000
Hydroxyacetonitrile,107-16-4,AM0350000
Hydroxybenzene,108-95-2,SJ3325000
Hydroxycellulose,9004-34-6,FJ5691460
Hydroxycyclohexane,108-93-0,GV7875000
Hydroxymethyl ethylene oxide,556-52-5,UB4375000
Hyponitrous acid anhydride,10024-97-2,QX1350000
m-Hydroxyphenol,108-46-3,VG9625000
n-Heptane*,142-82-5,MI7700000
n-Heptyl mercaptan,1639-09-4,MJ1400000
n-Hexadecanethiol,2917-26-2,
n-Hexane*,110-54-3,MN9275000
n-Hexanethiol*,111-31-9,MO4550000
n-Hexyl mercaptan,111-31-9,MO4550000
n-Hexylthiol,111-31-9,MO4550000
normal-Heptane,142-82-5,MI7700000
normal-Hexane,110-54-3,MN9275000
p-Hydroxyanisole,150-76-5,SL7700000
sec-Hexyl acetate*,108-84-9,SA7525000
"""Inert"" dusts",,
"2,2'-Iminodiethanol",111-42-2,KL2975000
2-Imidazolidine-2-thione,96-45-7,NI9625000
2-Isopropoxy propane,108-20-3,TZ5425000
2-Isopropoxyethanol*,109-59-1,KL5075000
"3-Isocyanatomethyl-3,5,5-trimethylcyclohexyl-isocyanate",4098-71-9,NQ9370000
bis(4-Isocyanatocyclohexyl)methane,5124-30-1,NQ9250000
IBA,78-83-1,NP9625000
IGE,4016-14-2,TZ3500000
Impure corundum,1302-74-5 (corundum),GN0231000 (corundum)
Indene*,95-13-6,NK8225000
Indium*,7440-74-6,NL1050000
Indium metal,7440-74-6,NL1050000
Indonaphthene,95-13-6,NK8225000
Iodine*,7553-56-2,NN1575000
Iodine crystals,7553-56-2,NN1575000
Iodoform*,75-47-8,PB7000000
Iodomethane,74-88-4,PA9450000
IPA,67-63-0,NT8050000
IPDI,4098-71-9,NQ9370000
Iron carbonyl,13463-40-6,NO4900000
Iron dicyclopentadienyl,102-54-5,LK0700000
Iron oxide dust and fume (as Fe)*,1309-37-1,"NO7400000,NO7525000 (fume)"
Iron oxide red,1309-37-1,NO7400000
Iron pentacarbonyl (as Fe)*,13463-40-6,NO4900000
"Iron salts (soluble, as Fe)*",,
Iron(II) chloride,,
Iron(II) sulfate,,
Iron(III) chloride,,
Iron(III) nitrate,,
Iron(III) oxide [Iron oxide dust and fume (as Fe)],1309-37-1,"NO7400000,NO7525000 (fume)"
Iron(III) sulfate,,
Iron(III)oxide [Rouge],1309-37-1,NO7400000
Isoacetophorone,78-59-1,GW7700000
Isoamyl acetate*,123-92-2,NS9800000
Isoamyl alcohol (primary)*,123-51-3,EL5425000
Isoamyl alcohol (secondary)*,6032-29-7,SA4900000
Isoamyl methyl ketone,110-12-3,MP3850000
Isobutane*,75-28-5,TZ4300000
Isobutanol,78-83-1,NP9625000
Isobutenyl methyl ketone,141-79-7,SB4200000
Isobutyl acetate*,110-19-0,AI4025000
Isobutyl alcohol*,78-83-1,NP9625000
Isobutyl carbinol,123-51-3,EL5425000
Isobutyl ester of acetic acid,110-19-0,AI4025000
Isobutyl methyl ketone,108-10-1,SA9275000
Isobutylmethylcarbinol,108-11-2,SA7350000
Isobutyronitrile*,78-82-0,TZ4900000
Isohexane,,
Isooctanol,26952-21-6,NS7700000
Isooctyl alcohol*,26952-21-6,NS7700000
Isopentyl acetate,123-92-2,NS9800000
Isopentyl alcohol,123-51-3,EL5425000
Isopentyl methyl ketone,110-12-3,MP3850000
Isophorone*,78-59-1,GW7700000
Isophorone diamine diisocyanate,4098-71-9,NQ9370000
Isophorone diisocyanate*,4098-71-9,NQ9370000
Isophthalodinitrile,626-17-5,CZ1900000
Isoprene cyanide,126-98-7,UD1400000
Isopropanol,67-63-0,NT8050000
Isopropenyl benzene,98-83-9,WL5075300
Isopropenylnitrile,126-98-7,UD1400000
Isopropoxymethyl oxirane,4016-14-2,TZ3500000
Isopropyl acetate*,108-21-4,AI4930000
Isopropyl alcohol*,67-63-0,NT8050000
Isopropyl benzene,98-82-8,GR8575000
Isopropyl Cellosolve®,109-59-1,KL5075000
Isopropyl cyanide,78-82-0,TZ4900000
Isopropyl ester of acetic acid,108-21-4,AI4930000
Isopropyl ether*,108-20-3,TZ5425000
Isopropyl glycidyl ether*,4016-14-2,TZ3500000
Isopropyl glycol,109-59-1,KL5075000
Isopropyl methyl ketone,563-80-4,EL9100000
Isopropylamine*,75-31-0,NT8400000
Isopropylaniline,768-52-5,BY4190000
Isopropylcarbinol,78-83-1,NP9625000
Isopropylideneacetone,141-79-7,SB4200000
Isovalerone,108-83-8,MJ5775000
N-IPA,768-52-5,BY4190000
N-Isopropylaniline*,768-52-5,BY4190000
o-Isopropoxyphenyl-N-methylcarbamate,114-26-1,FC3150000
Jasmolin I or II,8003-34-7,UR4200000
Jeffersol EB,111-76-2,KJ8575000
Kaolin*,1332-58-7,GF1670500
Karmex®,330-54-1,YS8925000
Kepone*,143-50-0,PC8575000
Kerosene*,8008-20-6,OA5500000
Ketene*,463-51-4,OA7700000
Keto-ethylene,463-51-4,OA7700000
Ketone propane,67-64-1,AL3150000
Korax®,600-25-9,TX5075000
β-Lactone,57-57-8,RQ7350000
Lamp black,1333-86-4,FF5800000
Lannate®,16752-77-5,AK2975000
Lanstan®,600-25-9,TX5075000
Laughing gas,10024-97-2,QX1350000
Laurel camphor,76-22-2,EX1225000
Lauryl mercaptan,112-55-0,JR3155000
Lead*,7439-92-1,OF7525000
Lead metal,7439-92-1,OF7525000
Lead tetraethyl,78-00-2,TP4550000
Lead tetramethyl,75-74-1,TP4725000
Lepidolite,12001-26-2,VV8760000
Lignite coal dust,,GF8281000
Ligroin,8032-32-4,OI6180000
Lime,1305-78-8,EW3100000
Lime nitrogen,156-62-7,GS6000000
Limestone*,1317-65-3,EV9580000
Lindane*,58-89-9,GV4900000
Liquefied hydrocarbon gas,68476-85-7,SE7545000
Liquefied petroleum gas,68476-85-7,SE7545000
Lithium hydride*,7580-67-8,OJ6300000
Lithium monohydride,7580-67-8,OJ6300000
LPG*,68476-85-7,SE7545000
Lye [Potassium hydroxide],1310-58-3,TT2100000
Lye [Sodium hydroxide],1310-73-2,WB4900000
n-Lauryl mercaptan,112-55-0,JR3155000
α-Methacrylic acid,79-41-4,OZ2975000
α-Methylacrylonitrile,126-98-7,UD1400000
β-Methyl acrolein,4170-30-3,GP9499000
β-Methylpropyl ethanoate,110-19-0,AI4025000
(Methylamino)benzene,100-61-8,BY4550000
1-Mercaptobutane,109-79-5,EK6300000
1-Mercaptodecane,143-10-2,
1-Mercaptododecane,112-55-0,JR3155000
1-Mercaptononane,1455-21-6,
1-Mercaptooctadecane,2885-00-9,
1-Mercaptooctane,111-88-6,
1-Methoxy-2-hydroxypropane,107-98-2,UB7700000
1-Methoxy-2-propanol,107-98-2,UB7700000
1-Methyl-1-phenylethylene,98-83-9,WL5075300
"1-Methyl-2,4,6-trinitrobenzene",118-96-7,XU0175000
1-Methyl-2-aminobenzene,95-53-4,XU2975000
1-Methyl-4-tert-butylbenzene,98-51-1,XS8400000
1-Methylbutyl acetate,626-38-0,AJ2100000
1-Methylethyl ester of acetic acid,108-21-4,AI4930000
1-Methylpropyl acetate,105-46-4,AF7380000
2-(1-Methylpropyl)phenol,89-72-5,SJ8920000
"2,2-bis(p-Methoxyphenyl)-1,1,1-trichloroethane",72-43-5,KJ3675000
2-Mercaptoacetic acid,68-11-1,AI5950000
2-Methoxy-1-methylethanol,107-98-2,UB7700000
2-Methoxyethanol,109-86-4,KL5775000
2-Methoxyethyl acetate,110-49-6,KL5950000
2-Methyl phenol,95-48-7,GO6300000
2-Methyl-1-propanol,78-83-1,NP9625000
"2-Methyl-2,4-pentanediol",107-41-5,SA0810000
2-Methyl-2-pentanol-4-one,123-42-2,SA9100000
2-Methyl-2-propanol,75-65-0,EO1925000
"2-Methyl-3,5-dinitrobenzamide",148-01-6,XS4200000
2-Methyl-5-hexanone,110-12-3,MP3850000
